Size,Seq,2,4,8
14,.00632,.00447,.02792,.01612
15,.01816,.02000,.12629,.08252
16,.04827,.06723,.46992,.34080
17,.23430,.31389,1.97049,1.09211
18,1.48908,16.74923,9.45086,4.78435
19,7.11253,2.30207,45.74426,15.37150
